bundle-att-T19-0001          success-bulky        expires=2026-09-22 kept            exists       0.4 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0001.json
bundle-att-T19-0002          failure              expires=-          awaiting triage exists       0.4 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0002.json
bundle-att-T19-0003          failure              expires=-          awaiting triage exists       0.4 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0003.json
bundle-att-T19-0004          failure              expires=-          awaiting triage exists       0.4 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0004.json
bundle-att-T19-0005          failure              expires=-          awaiting triage exists       0.4 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0005.json
bundle-att-T19-0006          failure              expires=-          awaiting triage exists       0.4 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0006.json
bundle-att-T19-0007          failure              expires=-          awaiting triage exists       0.4 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0007.json
bundle-att-T19-0008          failure              expires=-          awaiting triage exists       0.4 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0008.json
bundle-att-T19-0009          failure              expires=-          awaiting triage exists       0.4 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0009.json
bundle-att-T19-0011          success-bulky        expires=2026-09-22 kept            exists       0.4 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0011.json
bundle-att-T19-0012          failure              expires=-          awaiting triage exists       0.4 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0012.json
bundle-att-T19-0013          failure              expires=-          awaiting triage exists       0.4 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0013.json
bundle-att-T19-0014          failure              expires=-          awaiting triage exists       0.4 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0014.json
bundle-att-T19-0015          failure              expires=-          awaiting triage exists       0.4 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0015.json
bundle-att-T19-0016          failure              expires=-          awaiting triage exists       0.4 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0016.json
bundle-att-T19-0017          failure              expires=-          awaiting triage exists       0.4 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0017.json
bundle-att-T19-0018          failure              expires=-          awaiting triage exists       0.4 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0018.json
bundle-att-T19-0019          failure              expires=-          awaiting triage exists       0.4 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0019.json
bundle-att-T19-0021          success-bulky        expires=2026-09-22 kept            exists       0.4 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0021.json
bundle-att-T19-0022          failure              expires=-          awaiting triage exists       0.4 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0022.json
bundle-att-T19-0023          failure              expires=-          awaiting triage exists       0.4 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0023.json
bundle-att-T19-0024          failure              expires=-          awaiting triage exists       0.4 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0024.json
bundle-att-T19-0025          failure              expires=-          awaiting triage exists       0.4 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0025.json
bundle-att-T19-0026          failure              expires=-          awaiting triage exists       0.4 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0026.json
bundle-att-T19-0027          failure              expires=-          awaiting triage exists       0.4 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0027.json
bundle-att-T19-0028          failure              expires=-          awaiting triage exists       0.4 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0028.json
bundle-att-T19-0029          failure              expires=-          awaiting triage exists       0.4 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0029.json
bundle-att-T19-0031          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0031.json
bundle-att-T19-0032          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0032.json
bundle-att-T19-0033          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0033.json
bundle-att-T19-0034          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0034.json
bundle-att-T19-0035          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0035.json
bundle-att-T19-0036          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0036.json
bundle-att-T19-0037          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0037.json
bundle-att-T19-0038          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0038.json
bundle-att-T19-0039          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0039.json
bundle-att-T19-0041          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0041.json
bundle-att-T19-0042          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0042.json
bundle-att-T19-0043          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0043.json
bundle-att-T19-0044          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0044.json
bundle-att-T19-0045          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0045.json
bundle-att-T19-0046          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0046.json
bundle-att-T19-0047          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0047.json
bundle-att-T19-0048          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0048.json
bundle-att-T19-0049          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0049.json
bundle-att-T19-0051          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0051.json
bundle-att-T19-0052          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0052.json
bundle-att-T19-0053          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0053.json
bundle-att-T19-0054          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0054.json
bundle-att-T19-0055          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0055.json
bundle-att-T19-0056          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0056.json
bundle-att-T19-0057          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0057.json
bundle-att-T19-0058          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0058.json
bundle-att-T19-0059          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0059.json
bundle-att-T19-0071          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0071.json
bundle-att-T19-0072          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0072.json
bundle-att-T19-0073          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0073.json
bundle-att-T19-0074          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0074.json
bundle-att-T19-0075          failure              expires=-          awaiting triage exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0075.json
bundle-att-T19-0076          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0076.json
bundle-att-T19-0077          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0077.json
bundle-att-T19-0078          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0078.json
bundle-att-T19-0079          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0079.json
bundle-att-T19-0081          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0081.json
bundle-att-T19-0082          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0082.json
bundle-att-T19-0083          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0083.json
bundle-att-T19-0084          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0084.json
bundle-att-T19-0085          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0085.json
bundle-att-T19-0086          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0086.json
bundle-att-T19-0087          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0087.json
bundle-att-T19-0088          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0088.json
bundle-att-T19-0089          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0089.json
bundle-att-T19-0091          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0091.json
bundle-att-T19-0092          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0092.json
bundle-att-T19-0093          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0093.json
bundle-att-T19-0094          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0094.json
bundle-att-T19-0095          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0095.json
bundle-att-T19-0096          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0096.json
bundle-att-T19-0097          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0097.json
bundle-att-T19-0098          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0098.json
bundle-att-T19-0099          success-bulky        expires=2026-09-22 kept            exists       0.3 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/bundle-att-T19-0099.json
bundle-att-T19-C001          success-bulky        expires=2026-09-22 kept            exists       0.1 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/controls/bundle-att-T19-C001.json
bundle-att-T19-C002          success-bulky        expires=2026-09-22 kept            exists       0.1 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket19/controls/bundle-att-T19-C002.json
bundle-att-T41-0001          success-bulky        expires=2026-09-21 kept            exists       0.1 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket41/bundle-att-T41-0001.json
bundle-att-T41-0002          success-bulky        expires=2026-09-21 kept            exists       0.6 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket41/bundle-att-T41-0002.json
bundle-att-T41-0003          success-bulky        expires=2026-09-21 kept            exists       0.7 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket41/bundle-att-T41-0003.json
[retention] 117 bundle index(es); storage /home/vimkim/.cub/campaign/cbrd-26659: 50.82 GiB of 100 GiB
