phase,series,round,position,variant,seconds,result,timestamp
randomized,2,12,1,A,20.698358,282475249,2026-08-26T18:32:36+09:00
randomized,2,12,2,B,18.402318,282475249,2026-08-26T18:33:01+09:00
randomized,2,12,3,C,18.350317,282475249,2026-08-26T18:33:25+09:00
randomized,3,1,1,B,18.597321,282475249,2026-08-26T18:33:49+09:00
randomized,3,1,2,A,20.634357,282475249,2026-08-26T18:34:13+09:00
randomized,3,1,3,C,18.492319,282475249,2026-08-26T18:34:38+09:00
randomized,3,2,1,B,18.378317,282475249,2026-08-26T18:35:02+09:00
randomized,3,2,2,C,18.391317,282475249,2026-08-26T18:35:25+09:00
randomized,3,2,3,A,20.686357,282475249,2026-08-26T18:35:49+09:00
randomized,3,3,1,C,18.372317,282475249,2026-08-26T18:36:14+09:00
randomized,3,3,2,A,20.477354,282475249,2026-08-26T18:36:38+09:00
randomized,3,3,3,B,18.355317,282475249,2026-08-26T18:37:03+09:00
randomized,3,4,1,C,18.185314,282475249,2026-08-26T18:37:27+09:00
randomized,3,4,2,B,18.087313,282475249,2026-08-26T18:37:50+09:00
randomized,3,4,3,A,20.198350,282475249,2026-08-26T18:38:13+09:00
randomized,3,5,1,C,18.365318,282475249,2026-08-26T18:38:38+09:00
randomized,3,5,2,B,17.976311,282475249,2026-08-26T18:39:02+09:00
randomized,3,5,3,A,20.213349,282475249,2026-08-26T18:39:25+09:00
randomized,3,6,1,C,18.105313,282475249,2026-08-26T18:39:50+09:00
randomized,3,6,2,A,19.917344,282475249,2026-08-26T18:40:13+09:00
randomized,3,6,3,B,18.171314,282475249,2026-08-26T18:40:38+09:00
randomized,3,7,1,B,18.111313,282475249,2026-08-26T18:41:01+09:00
randomized,3,7,2,C,18.000312,282475249,2026-08-26T18:41:24+09:00
randomized,3,7,3,A,20.271351,282475249,2026-08-26T18:41:47+09:00
randomized,3,8,1,B,17.915310,282475249,2026-08-26T18:42:12+09:00
randomized,3,8,2,A,19.950345,282475249,2026-08-26T18:42:35+09:00
randomized,3,8,3,C,18.258316,282475249,2026-08-26T18:43:00+09:00
randomized,3,9,1,A,20.271350,282475249,2026-08-26T18:43:24+09:00
randomized,3,9,2,C,18.517320,282475249,2026-08-26T18:43:49+09:00
randomized,3,9,3,B,18.826326,282475249,2026-08-26T18:44:12+09:00
randomized,3,10,1,A,20.387353,282475249,2026-08-26T18:44:36+09:00
randomized,3,10,2,B,18.240316,282475249,2026-08-26T18:45:02+09:00
randomized,3,10,3,C,18.408318,282475249,2026-08-26T18:45:25+09:00
randomized,3,11,1,A,20.241350,282475249,2026-08-26T18:45:48+09:00
randomized,3,11,2,B,17.999311,282475249,2026-08-26T18:46:14+09:00
randomized,3,11,3,C,18.566321,282475249,2026-08-26T18:46:37+09:00
randomized,3,12,1,A,20.837361,282475249,2026-08-26T18:47:01+09:00
randomized,3,12,2,C,18.474320,282475249,2026-08-26T18:47:27+09:00
randomized,3,12,3,B,18.559321,282475249,2026-08-26T18:47:50+09:00
randomized,4,1,1,B,18.348317,282475249,2026-08-26T18:48:14+09:00
randomized,4,1,2,C,18.550321,282475249,2026-08-26T18:48:37+09:00
randomized,4,1,3,A,20.463354,282475249,2026-08-26T18:49:01+09:00
randomized,4,2,1,C,18.534320,282475249,2026-08-26T18:49:26+09:00
randomized,4,2,2,A,20.540355,282475249,2026-08-26T18:49:50+09:00
randomized,4,2,3,B,18.280316,282475249,2026-08-26T18:50:16+09:00
randomized,4,3,1,C,18.316316,282475249,2026-08-26T18:50:39+09:00
randomized,4,3,2,B,19.452337,282475249,2026-08-26T18:51:02+09:00
randomized,4,3,3,A,20.530355,282475249,2026-08-26T18:51:27+09:00
randomized,4,4,1,C,19.186331,282475249,2026-08-26T18:51:52+09:00
randomized,4,4,2,B,19.681341,282475249,2026-08-26T18:52:17+09:00
randomized,4,4,3,A,20.979363,282475249,2026-08-26T18:52:41+09:00
randomized,4,5,1,C,18.896326,282475249,2026-08-26T18:53:07+09:00
randomized,4,5,2,A,20.332352,282475249,2026-08-26T18:53:31+09:00
randomized,4,5,3,B,19.152331,282475249,2026-08-26T18:53:57+09:00
randomized,4,6,1,B,19.338335,282475249,2026-08-26T18:54:21+09:00
randomized,4,6,2,C,19.108331,282475249,2026-08-26T18:54:45+09:00
randomized,4,6,3,A,21.998381,282475249,2026-08-26T18:55:09+09:00
randomized,4,7,1,B,19.145332,282475249,2026-08-26T18:55:36+09:00
randomized,4,7,2,A,20.331351,282475249,2026-08-26T18:56:00+09:00
randomized,4,7,3,C,18.060313,282475249,2026-08-26T18:56:26+09:00
randomized,4,8,1,A,20.511354,282475249,2026-08-26T18:56:49+09:00
randomized,4,8,2,C,18.600322,282475249,2026-08-26T18:57:14+09:00
randomized,4,8,3,B,18.650323,282475249,2026-08-26T18:57:38+09:00
randomized,4,9,1,A,20.637357,282475249,2026-08-26T18:58:01+09:00
randomized,4,9,2,B,18.596322,282475249,2026-08-26T18:58:27+09:00
randomized,4,9,3,C,18.560321,282475249,2026-08-26T18:58:51+09:00
randomized,4,10,1,A,20.600357,282475249,2026-08-26T18:59:14+09:00
randomized,4,10,2,B,18.338318,282475249,2026-08-26T18:59:40+09:00
randomized,4,10,3,C,18.377317,282475249,2026-08-26T19:00:03+09:00
randomized,4,11,1,A,20.509355,282475249,2026-08-26T19:00:27+09:00
randomized,4,11,2,C,18.331318,282475249,2026-08-26T19:00:52+09:00
randomized,4,11,3,B,18.128314,282475249,2026-08-26T19:01:16+09:00
randomized,4,12,1,B,18.396318,282475249,2026-08-26T19:01:39+09:00
randomized,4,12,2,A,20.364352,282475249,2026-08-26T19:02:02+09:00
randomized,4,12,3,C,18.332317,282475249,2026-08-26T19:02:27+09:00
randomized,5,1,1,C,18.409319,282475249,2026-08-26T19:02:51+09:00
randomized,5,1,2,A,20.404353,282475249,2026-08-26T19:03:14+09:00
randomized,5,1,3,B,18.601322,282475249,2026-08-26T19:03:40+09:00
randomized,5,2,1,C,18.500320,282475249,2026-08-26T19:04:03+09:00
randomized,5,2,2,B,18.340317,282475249,2026-08-26T19:04:27+09:00
randomized,5,2,3,A,20.520355,282475249,2026-08-26T19:04:50+09:00
randomized,5,3,1,C,18.603322,282475249,2026-08-26T19:05:16+09:00
randomized,5,3,2,B,18.540321,282475249,2026-08-26T19:05:39+09:00
randomized,5,3,3,A,20.763360,282475249,2026-08-26T19:06:03+09:00
randomized,5,4,1,C,18.525320,282475249,2026-08-26T19:06:28+09:00
randomized,5,4,2,A,20.709359,282475249,2026-08-26T19:06:52+09:00
randomized,5,4,3,B,18.385318,282475249,2026-08-26T19:09:13+09:00
randomized,5,5,1,B,18.290316,282475249,2026-08-26T19:09:37+09:00
randomized,5,5,2,C,18.380318,282475249,2026-08-26T19:13:23+09:00
randomized,5,5,3,A,20.311352,282475249,2026-08-26T19:13:46+09:00
randomized,5,6,1,B,18.367318,282475249,2026-08-26T19:14:11+09:00
randomized,5,6,2,A,20.482354,282475249,2026-08-26T19:16:34+09:00
randomized,5,6,3,C,18.147314,282475249,2026-08-26T19:16:59+09:00
randomized,5,7,1,A,20.607357,282475249,2026-08-26T19:17:22+09:00
randomized,5,7,2,C,19.141331,282475249,2026-08-26T19:17:48+09:00
randomized,5,7,3,B,18.767325,282475249,2026-08-26T19:18:12+09:00
randomized,5,8,1,A,20.465354,282475249,2026-08-26T19:25:06+09:00
randomized,5,8,2,B,18.315317,282475249,2026-08-26T19:25:32+09:00
randomized,5,8,3,C,18.118314,282475249,2026-08-26T19:25:55+09:00
randomized,5,9,1,A,19.996347,282475249,2026-08-26T19:26:18+09:00
randomized,5,9,2,B,18.191315,282475249,2026-08-26T19:26:43+09:00
randomized,5,9,3,C,18.317317,282475249,2026-08-26T19:27:06+09:00
randomized,5,10,1,A,20.381353,282475249,2026-08-26T19:27:30+09:00
randomized,5,10,2,C,18.417319,282475249,2026-08-26T19:27:55+09:00
randomized,5,10,3,B,18.124314,282475249,2026-08-26T19:28:18+09:00
randomized,5,11,1,B,18.545321,282475249,2026-08-26T19:28:41+09:00
randomized,5,11,2,A,20.752359,282475249,2026-08-26T19:29:05+09:00
randomized,5,11,3,C,18.914327,282475249,2026-08-26T19:29:31+09:00
randomized,5,12,1,B,18.621322,282475249,2026-08-26T19:29:55+09:00
randomized,5,12,2,C,18.525320,282475249,2026-08-26T19:30:18+09:00
randomized,5,12,3,A,20.663358,282475249,2026-08-26T19:30:42+09:00
